Date	Friday, May 01, 2009,  12:36:07 PM
SystemName	Pathway
Well	Well D11
Plate	96 Well BD Falcon Imaging [353219]
Brand	BD Falcon
Wells	96
Objective	20X NA 075 Olympus Confocal
Offset	858993459
ZRelativeDisplacement	200.000000
Gain	15
SamplingRate Hz	12000
StartingFocusPosition microns	5401.570000
SearchSpan microns	2000.000000
DataPointsGathered	2000
Algorithm	DoubleThreshold
UseRollingAverageWidth	0
RollingAverageWidth	20
InFocusIndex	940



---DATA TABLE---
Index	Position	Intensity	InFocusPosition	SmoothedData
0	0	0.157196		
1	0	0.156386		
2	0	0.156548		
3	0	0.158654		
4	0	0.158006		
5	1	0.172418		
6	0	0.157196		
7	0	0.156872		
8	0	0.157034		
9	0	0.156225		
10	0	0.155739		
11	0	0.154443		
12	0	0.153634		
13	0	0.154443		
14	0	0.153795		
15	0	0.154767		
16	0	0.161569		
17	0	0.155901		
18	0	0.153957		
19	0	0.152500		
20	0	0.153472		
21	0	0.154443		
22	0	0.156548		
23	0	0.152176		
24	0	0.152176		
25	0	0.153472		
26	0	0.155577		
27	0	0.154929		
28	0	0.147642		
29	0	0.153957		
30	0	0.154281		
31	0	0.154119		
32	0	0.153310		
33	0	0.154443		
34	0	0.155253		
35	0	0.153795		
36	0	0.155091		
37	0	0.157844		
38	0	0.155577		
39	1	0.154443		
40	0	0.154767		
41	0	0.157520		
42	0	0.159301		
43	1	0.154929		
44	0	0.155091		
45	1	0.153472		
46	0	0.157682		
47	0	0.154767		
48	0	0.155415		
49	0	0.156548		
50	0	0.157196		
51	0	0.156386		
52	0	0.155577		
53	0	0.154929		
54	0	0.155253		
55	0	0.156872		
56	0	0.157682		
57	0	0.154767		
58	0	0.158330		
59	0	0.156225		
60	0	0.156225		
61	0	0.156386		
62	0	0.157034		
63	0	0.155091		
64	0	0.167236		
65	0	0.156872		
66	0	0.156710		
67	0	0.156872		
68	0	0.159301		
69	-1	0.158492		
70	0	0.157844		
71	-1	0.158978		
72	-1	0.161245		
73	-1	0.159949		
74	0	0.158492		
75	-1	0.159787		
